ERR2604091	ERR2604091__k119_92054	superkingdom	-_cellular organisms;d_Bacteria
ERR2604091	ERR2604091__k119_124575	no rank	-_cellular organisms
ERR2604091	ERR2604091__k119_174008	no rank	-_root
ERR2604091	ERR2604091__k119_30112	clade	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda
ERR2604091	ERR2604091__k119_74002	order	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales
ERR2604091	ERR2604091__k119_24392	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604092	ERR2604092__k119_188545	family	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae
ERR2604090	ERR2604090__k119_71549	superkingdom	-_cellular organisms;d_Bacteria
ERR2604090	ERR2604090__k119_181640	family	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae
ERR2604090	ERR2604090__k119_118695	order	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales
ERR2604090	ERR2604090__k119_142768	family	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae
ERR2604090	ERR2604090__k119_87464	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604090	ERR2604090__k119_1722	strain	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;-_Bacillus subtilis group;s_Bacillus subtilis;-_Bacillus subtilis subsp. subtilis;-_Bacillus subtilis subsp. subtilis str. 168
ERR2604090	ERR2604090__k119_80117	superkingdom	-_cellular organisms;d_Bacteria
ERR2604090	ERR2604090__k119_103883	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604090	ERR2604090__k119_80411	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria
ERR2604090	ERR2604090__k119_151903	superkingdom	-_cellular organisms;d_Bacteria
ERR2604094	ERR2604094__k119_89633	family	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae
ERR2604094	ERR2604094__k119_75341	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria
ERR2604094	ERR2604094__k119_183396	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604094	ERR2604094__k119_206204	no rank	-_cellular organisms
